id,discipline_class_id,day_of_week,start_time,end_time,class_type,created_at
7536bd21-4899-4142-b089-bbf3b23122b0,f984e7c2-2e4a-45d2-85eb-cb0ca4deefe0,QUI,21:00,22:40,T,2023-07-28 10:16:48.684195
f518bfd1-7801-4faf-a27f-c367e89fbfd1,2f990f36-79c2-4960-80c2-f179c07d428f,QUA,15:20,17:00,T,2023-07-28 10:16:48.684195
af618a58-b2b5-4e82-ab90-7afe6eaed0b8,2f990f36-79c2-4960-80c2-f179c07d428f,SEX,13:30,15:10,T,2023-07-28 10:16:48.684195
a7c1cd42-b76c-4e4a-87fd-45a60d082476,8f003a29-900a-42a2-99f0-52de7f40cb17,TER,21:00,22:40,T,2023-07-28 10:16:48.684195
2d2e9583-b0f5-402f-a7a7-46c06d91e4de,8f003a29-900a-42a2-99f0-52de7f40cb17,SEX,19:00,20:40,T,2023-07-28 10:16:48.684195
387d3c30-d4bd-4d86-bb98-9fe39263babb,6d9fd026-cbfc-4192-96c4-730c3ae80adf,SEG,15:20,17:00,T,2023-07-28 10:16:48.684195
fdf90e1c-d600-4d05-8003-2b3b8b2d28bc,6d9fd026-cbfc-4192-96c4-730c3ae80adf,QUA,13:30,15:10,T,2023-07-28 10:16:48.684195
eb1800d9-305f-482e-97a0-12b32f87ee1b,42614b40-e9b2-4be3-95de-58673e9b58a2,SEG,19:00,20:40,T,2023-07-28 10:16:48.684195
a314dac3-3a99-40d9-ad34-87c17bd1490c,42614b40-e9b2-4be3-95de-58673e9b58a2,QUA,19:00,20:40,T,2023-07-28 10:16:48.684195
4bc6af7a-be7a-4a62-a4fe-f69f8840c7f6,48795a41-46a0-4aca-ba84-d0e2ea75cb38,SEG,15:20,17:00,T,2023-07-28 10:16:48.684195
0fad5a5b-b288-42c4-8aa2-d77e94beef19,48795a41-46a0-4aca-ba84-d0e2ea75cb38,QUI,13:30,15:10,T,2023-07-28 10:16:48.684195
c3205cb6-5c16-40fb-83f5-a7257974910e,ecd50fc2-557d-47a1-861d-f11bd2e3e808,QUA,15:20,17:00,T,2023-07-28 10:16:48.684195
ff413eda-fb00-4054-8074-ae3160feaca6,ecd50fc2-557d-47a1-861d-f11bd2e3e808,SEX,13:30,15:10,T,2023-07-28 10:16:48.684195
37b4e0aa-b396-4ed9-a8ba-48a372e839c9,8a51f1a2-5394-41c2-b3de-a7a96330a618,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
b2640bc1-bca5-4162-a798-885fe874e13f,8a51f1a2-5394-41c2-b3de-a7a96330a618,SEX,21:00,21:50,T,2023-07-28 10:16:48.684195
f973284d-4484-4e5e-ac17-32970b9d8bbb,8a51f1a2-5394-41c2-b3de-a7a96330a618,SEX,21:50,22:40,P,2023-07-28 10:16:48.684195
5e8b1d7c-c20e-4251-a682-5fd0bf3faf9d,ab009b62-65f8-4057-8331-cebf3f9b3508,SEG,21:00,22:40,T,2023-07-28 10:16:48.684195
36241646-d2b5-4966-98c2-a2df50c3cfc6,ab009b62-65f8-4057-8331-cebf3f9b3508,QUI,19:00,20:40,T,2023-07-28 10:16:48.684195
e4efef13-c995-4d82-94da-2867c8ba1dac,35e63d79-48e1-4b07-83f5-959ab037b588,SEG,19:00,20:40,T,2023-07-28 10:16:48.684195
cc9d74c3-69e0-476c-af85-c6434d1e3203,35e63d79-48e1-4b07-83f5-959ab037b588,QUA,21:00,22:40,T,2023-07-28 10:16:48.684195
bebea5c2-fdfb-4514-ac70-57f1fd0cd360,4386ae6d-71f1-44f5-a7dc-db92f22bc7fd,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
4dabb206-3d71-4cf2-8410-9983abcd6eb3,4386ae6d-71f1-44f5-a7dc-db92f22bc7fd,SEX,21:00,21:50,T,2023-07-28 10:16:48.684195
7fb40b5b-ab34-49d6-ba83-c88a10e8030e,4386ae6d-71f1-44f5-a7dc-db92f22bc7fd,SEX,21:50,22:40,P,2023-07-28 10:16:48.684195
520b0749-2a13-4a8a-8fe2-ae6d0fc62253,b0f169df-4950-4a84-88de-a711a6c85473,SEG,13:30,15:10,T,2023-07-28 10:16:48.684195
d41b3a66-9a0a-4a1c-8f8d-d6b6c42dfbd3,b0f169df-4950-4a84-88de-a711a6c85473,QUI,15:20,16:10,T,2023-07-28 10:16:48.684195
a15ed05a-18a6-4edd-ad11-35ad4e02b509,b0f169df-4950-4a84-88de-a711a6c85473,QUI,16:10,17:00,P,2023-07-28 10:16:48.684195
31d4b9b5-1cc9-4545-96d5-7bf21b366c10,5f7edf8a-35f8-4515-a672-2cdfdb5bf58c,QUA,19:00,20:40,T,2023-07-28 10:16:48.684195
9f666c7e-f5c7-48e0-858e-c3b68193cee6,5f7edf8a-35f8-4515-a672-2cdfdb5bf58c,SEX,21:00,21:50,T,2023-07-28 10:16:48.684195
68335c4d-f335-496e-9df9-803c6d3474f5,5f7edf8a-35f8-4515-a672-2cdfdb5bf58c,SEX,21:50,22:40,P,2023-07-28 10:16:48.684195
09185f07-0da9-4bd2-97c2-56cf9b65e1d1,91c50659-6f3c-4959-9846-903051bed349,QUA,15:20,17:00,T,2023-07-28 10:16:48.684195
2d352039-94a9-4c2d-b117-d6236d83ddab,91c50659-6f3c-4959-9846-903051bed349,SEX,15:20,16:10,T,2023-07-28 10:16:48.684195
89adc7e6-c442-40d7-a4ab-da1929f0fbd3,91c50659-6f3c-4959-9846-903051bed349,SEX,16:10,17:00,P,2023-07-28 10:16:48.684195
21e9ca69-2c7c-473d-93fd-be44adafb9e3,7ccb841e-8d62-4734-b332-d343e173e508,QUA,21:00,22:40,T,2023-07-28 10:16:48.684195
805418bb-440b-4bc8-b50f-f5e808d429e6,7ccb841e-8d62-4734-b332-d343e173e508,SEX,19:00,19:50,T,2023-07-28 10:16:48.684195
c056e554-0edb-487d-addd-d020a753b8a2,7ccb841e-8d62-4734-b332-d343e173e508,SEX,19:50,20:40,P,2023-07-28 10:16:48.684195
3bc96d49-4539-474f-a2a7-8891058ca995,09635ee7-1734-4f28-98d2-aae49263ec68,QUA,13:30,15:10,T,2023-07-28 10:16:48.684195
2ed6bf01-2b3a-4a0e-9d0a-bf2093492f0b,09635ee7-1734-4f28-98d2-aae49263ec68,SEX,13:30,14:20,T,2023-07-28 10:16:48.684195
2fe9f085-8ce7-44c7-b569-776b3e677147,09635ee7-1734-4f28-98d2-aae49263ec68,SEX,14:20,15:10,P,2023-07-28 10:16:48.684195
da8cc91c-117b-4186-96ed-44c74220da6e,66678fde-7426-4ecd-bbdd-34710b9c5f26,SEG,21:00,22:40,T,2023-07-28 10:16:48.684195
21b9b3f2-4775-4531-ad86-0b3f0480ae8a,66678fde-7426-4ecd-bbdd-34710b9c5f26,QUA,19:00,19:50,T,2023-07-28 10:16:48.684195
a1008377-17df-44af-a9d3-bd8f69a1b198,66678fde-7426-4ecd-bbdd-34710b9c5f26,QUA,19:50,20:40,P,2023-07-28 10:16:48.684195
fd496575-2710-4f21-8f47-69e5b3285325,94d8ae17-19b5-472a-bef8-27f10f4fc539,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
b0eee61b-ab95-43b2-b7d3-d42a201592e0,94d8ae17-19b5-472a-bef8-27f10f4fc539,SEX,21:00,21:50,T,2023-07-28 10:16:48.684195
3bf4603e-13db-43ba-a145-721d632ab3dc,94d8ae17-19b5-472a-bef8-27f10f4fc539,SEX,21:50,22:40,P,2023-07-28 10:16:48.684195
8fa89542-6501-4e80-9e34-d6357cf5a4b5,7d883b4c-f3e6-491c-bee0-93f01ed06ad0,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
9e532908-b6a5-4ff7-b712-d834a1bb6c6b,7d883b4c-f3e6-491c-bee0-93f01ed06ad0,QUI,21:00,21:50,T,2023-07-28 10:16:48.684195
c513f679-f52c-43d8-827e-0aacbc1a8cab,7d883b4c-f3e6-491c-bee0-93f01ed06ad0,QUI,21:50,22:40,P,2023-07-28 10:16:48.684195
f16e8d43-8caf-4179-9e1f-4a930830cb8e,cffb9ed2-1374-4d48-914f-8f19bb97c105,SEG,15:20,17:00,T,2023-07-28 10:16:48.684195
debe688b-5cf7-4bfd-a0ba-850df017c050,cffb9ed2-1374-4d48-914f-8f19bb97c105,QUA,13:30,14:20,T,2023-07-28 10:16:48.684195
0c94db61-c508-4544-8451-90baf6207bde,cffb9ed2-1374-4d48-914f-8f19bb97c105,QUA,14:20,15:10,P,2023-07-28 10:16:48.684195
386e0836-df17-466c-8b5a-db7c1bf63ae8,2e8da436-59de-4255-83be-ef21942f5c6c,TER,13:30,15:10,T,2023-07-28 10:16:48.684195
e12c199b-e7bc-4b3b-a6ea-d766b3251c4a,2e8da436-59de-4255-83be-ef21942f5c6c,QUI,15:20,16:10,T,2023-07-28 10:16:48.684195
d4becda9-5531-4dc3-a1d7-8a83a7e0a686,2e8da436-59de-4255-83be-ef21942f5c6c,QUI,16:10,17:00,P,2023-07-28 10:16:48.684195
fa206d26-9778-48b8-a7f9-92dacf096427,9e5c536a-e3ad-460a-af07-98667d876e2f,TER,21:00,22:40,T,2023-07-28 10:16:48.684195
e3932a2b-b23a-4692-a695-58f359afe9ec,9e5c536a-e3ad-460a-af07-98667d876e2f,QUI,19:00,20:40,T,2023-07-28 10:16:48.684195
e0876ed1-886d-4700-ad25-8f5f9fc21f75,39681676-ffbb-4210-be4a-1678d2179f98,TER,13:30,15:10,T,2023-07-28 10:16:48.684195
