id,discipline_course_id,prerequisite_discipline_id,created_at
e8ebcbb2-0076-468c-98b8-81bb6e6661c9,c3039a9c-e8f9-4be5-9819-8fba291ddc19,CEA049,2023-07-24 17:48:12.952972
8dab8b33-ef98-422c-b61d-cfe3e8231e77,c3039a9c-e8f9-4be5-9819-8fba291ddc19,CEA050,2023-07-24 17:48:12.952972
c175f9ff-2815-4d1a-8048-8076ffa61a14,cf696f70-6645-4d3c-b9b2-5f83346576a1,CEA050,2023-07-24 17:48:12.952972
751e35bb-8cf9-492c-a6e4-22a308cae3c8,0d3c4f9d-7266-48dd-adba-565d028e3571,CEA049,2023-07-24 17:48:12.952972
904e5b45-6faf-4ded-bb1b-f3145e93c877,0d3c4f9d-7266-48dd-adba-565d028e3571,CEA050,2023-07-24 17:48:12.952972
6b214fc7-f924-4f86-81e2-b9b10d87ea19,36104ac0-a693-41fa-8976-5c44545cbd65,CSI030,2023-07-24 17:48:12.952972
035c9e88-be0f-41ed-b6ae-3b3839881883,129c4d5e-e955-4911-a9b5-30aaacf0cf25,CEA051,2023-07-24 17:48:12.952972
f81f14de-816a-4822-9484-6bfc3a95d519,5e58ecb6-1160-4792-a89f-2a7716326e3d,CEA051,2023-07-24 17:48:12.952972
c79dd333-71b0-406c-b54f-180597a5c5dc,1faa3fcd-8157-4947-9f10-9904cad7c427 696e4fdf-1a6f-4100-9655-0fda793d9b59,CEA038,2023-07-24 17:48:12.952972
fd6a71eb-9d64-43e8-8b99-943c2236234b,1faa3fcd-8157-4947-9f10-9904cad7c427 696e4fdf-1a6f-4100-9655-0fda793d9b59,CEA039,2023-07-24 17:48:12.952972
9cf262b6-2007-4dd5-a86d-40c05ff664ba,1faa3fcd-8157-4947-9f10-9904cad7c427 696e4fdf-1a6f-4100-9655-0fda793d9b59,CEA051,2023-07-24 17:48:12.952972
9a78adab-4897-4dd6-83b6-8da9bca1c9d9,1faa3fcd-8157-4947-9f10-9904cad7c427 696e4fdf-1a6f-4100-9655-0fda793d9b59,CEA061,2023-07-24 17:48:12.952972
b9652680-4c90-4548-a335-b734d3ae0d6b,30cdb810-2c20-4444-8f13-829fcf5054b3,CSI030,2023-07-24 17:48:12.952972
c4ff7db3-2b4c-4aae-863c-893b05cafada,543a274b-20ef-4671-ade5-a8e639a6671c,CSI030,2023-07-24 17:48:12.952972
742e45b3-e4f7-44bd-a26b-e9fec0021bd7,1ac33137-f2b2-44d2-bd85-cc743c41321a 3ca00304-2371-44fc-9b3f-6941adc0deef,CEA038,2023-07-24 17:48:12.952972
4bd5f1c9-51d9-4937-a1b7-09dfa9ce5101,1ac33137-f2b2-44d2-bd85-cc743c41321a 3ca00304-2371-44fc-9b3f-6941adc0deef,CEA039,2023-07-24 17:48:12.952972
85edbc3d-1405-4cc2-a342-55661372e5b5,1ac33137-f2b2-44d2-bd85-cc743c41321a 3ca00304-2371-44fc-9b3f-6941adc0deef,CEA051,2023-07-24 17:48:12.952972
6d1e3c6c-953f-4e90-a4cc-09b52de742e5,1ac33137-f2b2-44d2-bd85-cc743c41321a 3ca00304-2371-44fc-9b3f-6941adc0deef,CEA055,2023-07-24 17:48:12.952972
4007b083-7c29-4a98-8088-4fd6e5da21c3,1ac33137-f2b2-44d2-bd85-cc743c41321a 3ca00304-2371-44fc-9b3f-6941adc0deef,CEA061,2023-07-24 17:48:12.952972
8fabfcae-21c1-4f1f-99a7-28b357933dd7,580d1675-8c83-4ab0-b48b-693ddf72ae7e,CEA056,2023-07-24 17:48:12.952972
181c9015-f6bb-4226-923f-68fccf8a4795,580d1675-8c83-4ab0-b48b-693ddf72ae7e,CEA062,2023-07-24 17:48:12.952972
bb548cdd-ad4a-434e-9ffa-f8e4b128e854,f893b085-8b00-4589-bc59-9fb276f06438,CEA056,2023-07-24 17:48:12.952972
991dd6a7-2856-4baa-b807-f000d948b347,db7d8988-b761-4779-9c3a-9009a7ff61e6,CSI032,2023-07-24 17:48:12.952972
a257fa5b-8c2a-4887-8122-905025ba94d3,db7d8988-b761-4779-9c3a-9009a7ff61e6,CSI488,2023-07-24 17:48:12.952972
f61699d4-1693-483e-88dc-933e309f9154,fd839268-e303-447c-a54b-87a6115515d3,CSI443,2023-07-24 17:48:12.952972
dd56171b-5b78-4e5f-9dcb-f5f28e91f2cc,fd839268-e303-447c-a54b-87a6115515d3,CSI488,2023-07-24 17:48:12.952972
3446bb78-d98d-40ac-9353-1bdb04e8f804,bd3b723d-416c-4cb6-b05b-7f9d0484f9a6 4606fc9b-e51a-48d3-8075-885c871b35d5,CEA052,2023-07-24 17:48:12.952972
81f73681-d47a-41f5-9398-f460b7732dad,bd3b723d-416c-4cb6-b05b-7f9d0484f9a6 4606fc9b-e51a-48d3-8075-885c871b35d5,CEA056,2023-07-24 17:48:12.952972
ea8e3dd6-9a42-4fb2-b6ae-b1eb318ceed1,bd3b723d-416c-4cb6-b05b-7f9d0484f9a6 4606fc9b-e51a-48d3-8075-885c871b35d5,CEA062,2023-07-24 17:48:12.952972
06958504-6a74-4192-b8a9-30a71f08f8ea,bd3b723d-416c-4cb6-b05b-7f9d0484f9a6 4606fc9b-e51a-48d3-8075-885c871b35d5,CEA063,2023-07-24 17:48:12.952972
530a330d-062d-4654-9d1b-2e62bf08ffc6,f3eb5b39-90e9-4579-a729-c7a605d7b547,CEA052,2023-07-24 17:48:12.952972
87fd1558-042b-4b46-9de7-4ade9d47e83a,f3eb5b39-90e9-4579-a729-c7a605d7b547,CEA063,2023-07-24 17:48:12.952972
fee73d30-877f-435d-88a6-4fac32d24707,f3eb5b39-90e9-4579-a729-c7a605d7b547,CEA552,2023-07-24 17:48:12.952972
9e2b11af-5191-4127-8b88-f408ae73da42,271222d2-92d0-403b-abb2-bbb2e4919cb2,CEA056,2023-07-24 17:48:12.952972
6dd7a315-92ea-4f3d-b2b3-8cc1eb0ef8cb,271222d2-92d0-403b-abb2-bbb2e4919cb2,CSI030,2023-07-24 17:48:12.952972
