id,class_number,discipline_id,professor,created_at,semester
e5f7c728-d94a-44fc-be22-3af08c000787,21,CEA064,HENRIQUE FERNANDES VIEIRA VICTORIA(T+P),2023-07-24 18:08:14.071088,23.1
c945133e-0cfc-471a-b757-fd9ca2ff7f9f,22,CEA064,CARLOS RENATO PONTES(T+P),2023-07-24 18:08:14.071088,23.1
b0f31cca-256b-4c41-af16-633be96d0940,11,CEA065,JUVENIL SIQUEIRA DE OLIVEIRA FILHO(T),2023-07-24 18:08:14.071088,23.1
21849922-e12c-4e2e-8c49-4b034c2ce4a6,21,CEA066,,2023-07-24 18:08:14.071088,23.1
502d5248-ec13-4081-b869-06d7f2f53c93,22,CEA066,LUCILIA ALVES LINHARES(T),2023-07-24 18:08:14.071088,23.1
2dd480d1-2945-4335-80b8-a17c8d21fc6c,11,CEA067,KARLA MOREIRA VIEIRA(T),2023-07-24 18:08:14.071088,23.1
3ffe8da8-679a-481f-ba80-cf3cdd432419,11,CSI002,HELEN DE CASSIA SOUSA DA COSTA LIMA(T+P),2023-07-24 18:08:14.071088,23.1
b62e4971-b15b-42ce-bf62-288449e2a7ef,11,CSI009,FERNANDO BERNARDES DE OLIVEIRA(T),2023-07-24 18:08:14.071088,23.1
6974bdbe-25a3-453d-8208-7c2b69b9106f,11,CSI011,LUIZ OTAVIO MENEZES TELES(T),2023-07-24 18:08:14.071088,23.1
5f8afdcf-08dc-469e-96bc-96d6d756771a,12,CSI011,LUIZ OTAVIO MENEZES TELES(T),2023-07-24 18:08:14.071088,23.1
29f7deff-5c4e-4226-8eea-62a72c7f31b3,21,CSI030,FERNANDO BERNARDES DE OLIVEIRA(T+P),2023-07-24 18:08:14.071088,23.1
a7f07c65-097a-4255-be37-318fe95870bf,22,CSI030,TIAGO FRANCA MELO DE LIMA(T+P),2023-07-24 18:08:14.071088,23.1
824ae821-e640-44cc-bb23-daadccc999d8,23,CSI030,BRUNO CESAR COTA CONCEICAO(T+P),2023-07-24 18:08:14.071088,23.1
45bdc203-b178-40b5-b099-79184c69c0a8,11,CSI032,RAFAEL FREDERICO ALEXANDRE(T+P),2023-07-24 18:08:14.071088,23.1
3171935d-0716-493d-939d-91fba086f07b,11,CSI101,BRUNO CESAR COTA CONCEICAO(T+P),2023-07-24 18:08:14.071088,23.1
0c8f1f05-0713-4394-8c83-9869028768b9,12,CSI101,BRUNO CESAR COTA CONCEICAO(T+P),2023-07-24 18:08:14.071088,23.1
81268e5b-ba57-4b23-b413-043153b633cf,11,CSI102,RAFAEL FREDERICO ALEXANDRE(T+P),2023-07-24 18:08:14.071088,23.1
66156c86-a92b-4256-8cd4-2140317ac599,11,CSI103,MATEUS FERREIRA SATLER(T+P),2023-07-24 18:08:14.071088,23.1
99a3ae83-c1c9-4f3a-849f-61193167632f,12,CSI103,MATEUS FERREIRA SATLER(T+P),2023-07-24 18:08:14.071088,23.1
fea115e3-de5d-45b1-9d6e-2a9b1948d83d,11,CSI104,TATIANA ALVES COSTA(T+P),2023-07-24 18:08:14.071088,23.1
03488cd6-1d4a-49bf-93aa-561d26087e1e,11,CSI105,GEORGE HENRIQUE GODIM DA FONSECA(T+P),2023-07-24 18:08:14.071088,23.1
27947c7d-06ea-4b95-a63f-d6049842dad8,11,CSI106,CAIO AUGUSTO RODRIGUES DOS SANTOS(T),2023-07-24 18:08:14.071088,23.1
4325046b-8f20-42e9-8067-5820e1b003f8,11,CSI107,LUIZ CARLOS BAMBIRRA TORRES(T),2023-07-24 18:08:14.071088,23.1
50028dcb-4b7a-4be1-aa69-d6d0b02d50e9,21,CSI148,DARLAN NUNES DE BRITO(T+P),2023-07-24 18:08:14.071088,23.1
cb44ec63-b425-4c55-8abc-a8224ccc805e,22,CSI148,DARLAN NUNES DE BRITO(T+P),2023-07-24 18:08:14.071088,23.1
28a6dfbe-0304-48de-82a1-ca35977706ee,11,CSI201,ROBERTO GOMES RIBEIRO(T) / SAMUEL SOUZA BRITO(T),2023-07-24 18:08:14.071088,23.1
bbc015b3-406e-46e5-b44b-caf2b108dae5,11,CSI202,CARLOS HENRIQUE GOMES FERREIRA(T),2023-07-24 18:08:14.071088,23.1
523220a2-fb20-4978-8dd2-d832ea31759f,21,CSI203,HARLEI MIGUEL DE ARRUDA LEITE(T+P),2023-07-24 18:08:14.071088,23.1
053f3dae-e4eb-456b-a076-2bb297a2b229,22,CSI203,EDUARDO DA SILVA RIBEIRO(T+P),2023-07-24 18:08:14.071088,23.1
8d6aec46-fa77-4374-a327-0e1fdbd342a9,11,CSI204,SAMUEL SOUZA BRITO(T),2023-07-24 18:08:14.071088,23.1
661cc701-d653-4816-a5a5-aa0e7602ef05,11,CSI301,FILIPE NUNES RIBEIRO(T+P),2023-07-24 18:08:14.071088,23.1
714055d7-b6e0-445e-b8fa-0497bec6f7a5,11,CSI302,THEO SILVA LINS(T+P),2023-07-24 18:08:14.071088,23.1
13936a73-27b0-40f2-9f80-4ff831e293ae,11,CSI303,JANNIELE APARECIDA SOARES ARAUJO(T),2023-07-24 18:08:14.071088,23.1
1774fd79-c0c5-4563-a788-0e6ab4c0d55a,11,CSI305,THEO SILVA LINS(T),2023-07-24 18:08:14.071088,23.1
b0dd1281-8634-4e9f-ad15-ac6ebe38153b,11,CSI403,EULER HORTA MARINHO(T),2023-07-24 18:08:14.071088,23.1
892dcbe3-4008-49cd-8004-ef6b3bca52d0,11,CSI404,IGOR MUZETTI PEREIRA(T),2023-07-24 18:08:14.071088,23.1
40ceec6c-7f55-4bf6-ba59-4cac8c5501f6,11,CSI405,DIEGO ZUQUIM GUIMARAES GARCIA(T),2023-07-24 18:08:14.071088,23.1
8afc2cd9-486a-4820-805c-08c210e4d50d,11,CSI406,DIEGO ZUQUIM GUIMARAES GARCIA(T),2023-07-24 18:08:14.071088,23.1
91765cb9-56d7-4c86-a6db-99533b7f9cf1,11,CSI407,IGOR MUZETTI PEREIRA(T),2023-07-24 18:08:14.071088,23.1
7bf4799f-b3f1-44cc-b1c9-73f47e8ece94,11,CSI408,EULER HORTA MARINHO(T),2023-07-24 18:08:14.071088,23.1
06da598f-1e25-4fb7-85a3-f6941ff8d7d8,11,CSI419,LUIZ CARLOS BAMBIRRA TORRES(T),2023-07-24 18:08:14.071088,23.1
33d93252-04a0-4a07-9858-6afdc089e2b0,11,CSI427,CARLOS HENRIQUE GOMES FERREIRA(T),2023-07-24 18:08:14.071088,23.1
51d10e17-0bdd-491f-abe2-b79a8d43bfb0,11,CSI428,GILDA APARECIDA DE ASSIS(T+P),2023-07-24 18:08:14.071088,23.1
