CÓDIGO,DISCIPLINA,PRÉ-REQUISITO,CHS/CHE,CHA,AULAS,PER,Eletiva
CEA572,INSTRUMENTACAO,CEA561 CEA570,60/0,72,2 2,,True
CEA671,PROCESSAMENTO DIGITAL DE SINAIS,CEA562,60/0,72,3 1,,True
CEA708,PRINCIPIOS DAS COMUNICACOES DIGITAIS,CEA562,60/0,72,3 1,,True
CEA709,PROPAGACAO DE ONDAS DE RADIO,CEA502 CEA562,60/0,72,3 1,,True
CEA710,PROBABILIDADE E PROCESSOS ESTOCASTICOS PARA ENGENHARIA,,60/0,72,3 1,,True
CEA711,REDES E SISTEMAS DE COMUNICACOES MOVEIS,CEA341 CSI488,60/0,72,4 0,,True
CEA712,TOPICOS ESPECIAIS EM TELECOMUNICACOES,CEA562,60/0,72,3 1,,True
CSI001,ANALISE DE MIDIAS SOCIAIS,CSI466,60/0,72,4 0,,True
CSI401,PROGRAMACAO PARA DISPOSITIVOS MOVEIS,,60/0,72,1 3,,True
CSI402,COMPUTACAO MOVEL,,60/0,72,4 0,,True
CSI434,TOPICOS EM REDES DE COMPUTADORES,CSI548,60/0,72,4 0,,True
CSI436,COMPUTACAO MOVEL,CSI440,60/0,72,4 0,,True
CSI442,BANCO DE DADOS II,CSI429 CSI440,60/0,72,4 0,,True
CSI472,INTELIGENCIA COMPUTACIONAL PARA OTIMIZACAO,CSI488,60/0,72,4 0,,True
CSI477,SISTEMAS WEB I,CSI440 CSI485 CSI548,60/0,72,2 2,,True
CSI486,ENGENHARIA DE SOFTWARE II,CSI485,60/0,72,4 0,,True
CSI501,INTRODUCAO A ROBOTICA,CEA341 CSI030,60/0,72,2 2,,True
CSI502,LINGUAGEM DE DESCRICAO DE HARDWARE,CEA341 CSI030,60/0,72,2 2,,True
CSI503,DESENVOLVIMENTO AGIL DE SOFTWARE,CSI485,60/0,72,2 2,,True
CSI512,TOPICOS EM ENGENHARIA DE SOFTWARE I,CSI485,60/0,72,4 0,,True
CSI513,TOPICOS EM DESENVOLVIMENTO DE SISTEMAS I,CSI440 CSI485,60/0,72,4 0,,True
CSI515,PROCESSAMENTO DIGITAL DE IMAGENS,CEA341 CEA562 CSI488,60/0,72,3 1,,True
CSI516,TOPICOS EM DESENVOLVIMENTO DE SISTEMAS II,CSI486,60/0,72,4 0,,True
